,center_loss,corners_loss,heading_class_loss,heading_residual_normalized_loss,iou2d,iou3d,iou3d_0.7,iou_value_loss,size_residual_normalized_loss,stage1_center_loss,total_loss
0,5.17212,47.43198,0.0,0.0,0.07771,0.05064,0.0,6.62122,2.86219,2.86219,7.99904
1,4.05787,31.02756,0.0,0.0,0.09025,0.05945,0.0,6.47155,1.99802,1.99802,5.62561
2,3.82429,28.8303,0.0,0.0,0.09815,0.06908,0.0,6.79301,1.85982,1.85982,5.29528
3,3.69574,26.66686,0.0,0.0,0.11258,0.08132,0.0,6.61149,1.75999,1.75999,4.9448
4,3.55283,25.96671,0.0,0.0,0.11095,0.07964,0.0,6.57556,1.57958,1.57958,4.81421
5,3.56792,25.17779,0.0,0.0,0.11463,0.08377,0.0,6.18713,1.54384,1.54384,4.64368
6,3.59268,25.21363,0.0,0.0,0.10868,0.07997,0.0,6.12011,1.47515,1.47515,4.63189
7,3.41912,23.89952,0.0,0.0,0.12574,0.09436,0.0,6.58454,1.48984,1.48984,4.49808
8,3.37011,22.95677,0.0,0.0,0.13229,0.10165,0.0,6.44201,1.42829,1.42829,4.33432
9,3.41717,23.74127,0.0,0.0,0.11951,0.09068,0.0,6.48534,1.42451,1.42451,4.44709
10,3.44906,23.01953,0.0,0.0,0.13517,0.10342,0.0,6.42307,1.42014,1.42014,4.35001
